"generator","q","rtag","sample_size","rep","method","abs_ate_err","rand_index"
"sevt",0,"exp",500,1,"tree_bayes",0.0655653901619319,0.82258064516129
"sevt",0,"exp",500,1,"bhc",0.0483304858713173,0.76008064516129
"sevt",0,"exp",500,1,"csbhc",0.0936669583531463,0.713709677419355
"sevt",0,"exp",500,1,"dag_tabu",0.0496596265072011,0.967741935483871
"sevt",0,"exp",500,1,"dag_pc",0.066663340385733,0.903225806451613
"sevt",0,"exp",500,1,"dag_bayes",0.0624237910994358,0.967741935483871
"dag",0,"exp",500,1,"tree_bayes",0.00540822766503558,0.596774193548387
"dag",0,"exp",500,1,"bhc",0.0310162946424293,0.69758064516129
"dag",0,"exp",500,1,"csbhc",0.0117410191522592,0.689516129032258
"dag",0,"exp",500,1,"dag_tabu",0.000160556330474682,0.870967741935484
"dag",0,"exp",500,1,"dag_pc",0.0382583134589811,0.741935483870968
"dag",0,"exp",500,1,"dag_bayes",0.000160556330474682,0.870967741935484
"sevt",0.5,"exp",500,1,"tree_bayes",0.012045865127046,0.389112903225806
"sevt",0.5,"exp",500,1,"bhc",0.00160308844181811,0.737903225806452
"sevt",0.5,"exp",500,1,"csbhc",0.0614054859888913,0.453629032258065
"sevt",0.5,"exp",500,1,"dag_tabu",0.0593382914069057,0.508064516129032
"sevt",0.5,"exp",500,1,"dag_pc",0.0593382914069055,0.508064516129032
"sevt",0.5,"exp",500,1,"dag_bayes",0.0592948617580761,0.508064516129032
"dag",0.5,"exp",500,1,"tree_bayes",0.429717877398439,0.580645161290323
"dag",0.5,"exp",500,1,"bhc",0.414565995274724,0.647177419354839
"dag",0.5,"exp",500,1,"csbhc",0.438736650528689,0.629032258064516
"dag",0.5,"exp",500,1,"dag_tabu",0.443413292866252,0.512096774193548
"dag",0.5,"exp",500,1,"dag_pc",0.443413292866252,0.512096774193548
"dag",0.5,"exp",500,1,"dag_bayes",0.443230396009591,0.512096774193548
"sevt",0.8,"exp",500,1,"tree_bayes",0.421125268027939,0.491935483870968
"sevt",0.8,"exp",500,1,"bhc",0.443798027861093,0.645161290322581
"sevt",0.8,"exp",500,1,"csbhc",0.43120638127499,0.67741935483871
"sevt",0.8,"exp",500,1,"dag_tabu",0.424558901628002,0.655241935483871
"sevt",0.8,"exp",500,1,"dag_pc",0.424558901628002,0.655241935483871
"sevt",0.8,"exp",500,1,"dag_bayes",0.42346791260088,0.51008064516129
"dag",0.8,"exp",500,1,"tree_bayes",0.0194054604361424,1
"dag",0.8,"exp",500,1,"bhc",0.0448668235294117,0.379032258064516
"dag",0.8,"exp",500,1,"csbhc",0.0187125547619049,0.336693548387097
"dag",0.8,"exp",500,1,"dag_tabu",0.0349255305000847,0.483870967741935
"dag",0.8,"exp",500,1,"dag_pc",0.0349255305000847,0.483870967741935
"dag",0.8,"exp",500,1,"dag_bayes",0.0347745011892914,0.483870967741935
"sevt",0,"unif",500,1,"tree_bayes",0.0566603778246744,0.848790322580645
"sevt",0,"unif",500,1,"bhc",0.0580474586072238,0.733870967741935
"sevt",0,"unif",500,1,"csbhc",0.0101355022901459,0.800403225806452
"sevt",0,"unif",500,1,"dag_tabu",0.0139315033724559,0.903225806451613
"sevt",0,"unif",500,1,"dag_pc",0.00631227740872464,0.774193548387097
"sevt",0,"unif",500,1,"dag_bayes",0.00360307517228947,0.516129032258065
"dag",0,"unif",500,1,"tree_bayes",0.0115432608928589,0.80241935483871
"dag",0,"unif",500,1,"bhc",0.011061673547599,0.766129032258065
"dag",0,"unif",500,1,"csbhc",0.018494835217144,0.768145161290323
"dag",0,"unif",500,1,"dag_tabu",0.00160997264779361,0.806451612903226
"dag",0,"unif",500,1,"dag_pc",0.00160997264779339,0.806451612903226
"dag",0,"unif",500,1,"dag_bayes",3.93839889643172e-05,0.806451612903226
"sevt",0.5,"unif",500,1,"tree_bayes",0.0453111888292999,0.57258064516129
"sevt",0.5,"unif",500,1,"bhc",0.0227359649145388,0.713709677419355
"sevt",0.5,"unif",500,1,"csbhc",0.00607741185106747,0.550403225806452
"sevt",0.5,"unif",500,1,"dag_tabu",0.0113020632261169,0.747983870967742
"sevt",0.5,"unif",500,1,"dag_pc",0.00468415984164838,0.530241935483871
"sevt",0.5,"unif",500,1,"dag_bayes",0.00483918833140395,0.530241935483871
"dag",0.5,"unif",500,1,"tree_bayes",0.0612627165761581,0.129032258064516
"dag",0.5,"unif",500,1,"bhc",0.0854130403831659,0.659274193548387
"dag",0.5,"unif",500,1,"csbhc",0.0609037552862266,0.669354838709677
"dag",0.5,"unif",500,1,"dag_tabu",0.0520804604886378,0.564516129032258
"dag",0.5,"unif",500,1,"dag_pc",0.0520804604886378,0.564516129032258
"dag",0.5,"unif",500,1,"dag_bayes",0.0520818215035496,0.564516129032258
"sevt",0.8,"unif",500,1,"tree_bayes",0.0714458538667257,0.387096774193548
"sevt",0.8,"unif",500,1,"bhc",0.0945799840062595,0.576612903225806
"sevt",0.8,"unif",500,1,"csbhc",0.0441282395855577,0.423387096774194
"sevt",0.8,"unif",500,1,"dag_tabu",0.136925326925894,0.516129032258065
"sevt",0.8,"unif",500,1,"dag_pc",0.136925326925894,0.516129032258065
"sevt",0.8,"unif",500,1,"dag_bayes",0.136949830560516,0.516129032258065
"dag",0.8,"unif",500,1,"tree_bayes",0.00397888811404248,0.713709677419355
"dag",0.8,"unif",500,1,"bhc",0.00268301761848211,0.679435483870968
"dag",0.8,"unif",500,1,"csbhc",0.0047339549112354,0.780241935483871
"dag",0.8,"unif",500,1,"dag_tabu",0.00521982490214723,0.741935483870968
"dag",0.8,"unif",500,1,"dag_pc",0.00521982490214723,0.741935483870968
"dag",0.8,"unif",500,1,"dag_bayes",0.00520410262723148,0.741935483870968
"sevt",0,"exp",1000,1,"tree_bayes",0.0812151480924767,0.897177419354839
"sevt",0,"exp",1000,1,"bhc",0.0802877518289606,0.832661290322581
"sevt",0,"exp",1000,1,"csbhc",0.0206519822398302,0.810483870967742
"sevt",0,"exp",1000,1,"dag_tabu",0.068814340870009,0.967741935483871
"sevt",0,"exp",1000,1,"dag_pc",0.0751937189047205,0.774193548387097
"sevt",0,"exp",1000,1,"dag_bayes",0.0707615254812124,1
"dag",0,"exp",1000,1,"tree_bayes",0.00158749831441985,0.852822580645161
"dag",0,"exp",1000,1,"bhc",0.00866013407136434,0.80241935483871
"dag",0,"exp",1000,1,"csbhc",0.018840306922178,0.8125
"dag",0,"exp",1000,1,"dag_tabu",0.0139915601473159,0.935483870967742
"dag",0,"exp",1000,1,"dag_pc",0.00595039118882773,0.870967741935484
"dag",0,"exp",1000,1,"dag_bayes",0.00732984848868741,0.870967741935484
"sevt",0.5,"exp",1000,1,"tree_bayes",0.189694254250985,0.824596774193548
"sevt",0.5,"exp",1000,1,"bhc",0.193041122389885,0.772177419354839
"sevt",0.5,"exp",1000,1,"csbhc",0.167267012318182,0.612903225806452
