"","x"
"1",0.0230641904164964
"2",0.0105126457436152
"3",0.0585299026032374
"4",-0.00857099137377466
"5",0.00222909492303262
"6",0.0446817137389207
"7",0.0266796152276071
"8",0.0575752069634836
"9",0.0368057225298143
"10",0.0175958344865528
"11",0.084441841642154
"12",0.0833906526093899
"13",0.0749163675087392
"14",0.0811126536221593
"15",0.0152024085766955
"16",0.0282514074083229
"17",-0.00196724517268028
"18",0.0310187049394079
"19",0.0619032103203438
"20",0.0614387395200353
"21",0.0748258999034226
"22",0.072618568940136
"23",0.0480615229834263
"24",0.0272067101284555
"25",0.0265870921876011
"26",-0.00331907730233309
"27",0.0307571855672169
"28",0.0346757090854667
"29",0.0447574285857847
"30",-0.00407104810455736
"31",0.0732519662717731
"32",0.045201105376338
"33",0.0366720754743136
"34",0.0347784990171687
"35",0.0442512767596741
"36",0.0467696816967011
"37",0.0695486606812769
"38",-0.00205757143079813
"39",0.0143221766115689
"40",0.0596303818967472
"41",0.0123554559893096
"42",0.0242648482614126
"43",0.0441836413345526
"44",-0.00986890278643163
"45",0.0723586981872196
"46",0.0793721422128892
"47",0.0149829174007394
"48",0.057156987919355
"49",0.0655241273566645
"50",0.0250732818535974
"51",0.0161020337907715
"52",0.0679443848702307
"53",0.0428400560419811
"54",0.0664558980449403
"55",0.0231900555342634
"56",0.0383593007182078
"57",0.0417247500793005
"58",0.021265915957578
"59",0.0613337952568462
"60",0.0638636429309929
"61",0.0340194195601674
"62",0.0714004230531234
"63",0.0386163356044254
"64",0.0599528749562869
"65",0.0288017634786845
"66",0.00760937527484744
"67",0.017737366813287
"68",0.0435839371323189
"69",0.0663528438222186
"70",0.0701004440383352
"71",0.0377964068263271
"72",0.0213238052087288
"73",0.0623252720213885
"74",0.0168839009840215
"75",0.014300434799221
"76",0.0339854817547218
"77",0.0231710074727801
"78",0.0609334860454676
"79",0.0257048904112639
"80",0.0672404465089381
"81",0.0159750483002425
"82",0.0854713958018979
"83",0.0869871278506334
"84",0.0669414256524913
"85",0.0171150061347855
"86",0.0326599394081097
"87",-0.0117627950981479
"88",0.0822950519347851
"89",0.0778469477747987
"90",0.101441467757365
"91",0.0162102529269385
"92",-0.0197778922879426
"93",0.0388937000636421
"94",0.0685895968691241
"95",0.0544497737259591
"96",0.0779730316032083
"97",0.00105963282583849
"98",0.0704987096064597
"99",0.0467549875404316
"100",0.0453793094232885
"101",0.0534928842048362
"102",0.0209266267628285
"103",0.0479546227951524
"104",0.0465940229747697
"105",0.0408926499059057
"106",0.0209963211003648
"107",0.0413847318440319
"108",0.0185852109423114
"109",0.0235146595753801
"110",0.065940242751418
"111",0.0483704307503677
"112",0.071202694750833
"113",0.0585845638409121
"114",0.031252449136028
"115",0.0865737441081227
"116",0.00859625674534654
"117",0.0359332779683854
"118",0.00730837625588178
"119",0.0339321086039069
"120",0.065787661537605
"121",0.0596524100728367
"122",0.0859482184867174
"123",0.0369822819673559
"124",0.000272182217766037
"125",0.026417511971432
"126",0.0634044775985386
"127",0.00860137765798144
"128",0.0922848389075148
"129",0.013283462070524
"130",0.0559273135901612
"131",0.00163727760368353
"132",0.0729729329222517
"133",0.0525458954166704
"134",0.0663066192143873
"135",0.0124236545620194
"136",0.0442825696073312
"137",0.00416765533573514
"138",0.053946710420812
"139",0.0650833929968642
"140",0.0397019506096462
"141",0.0359000499782733
"142",0.0474760436080447
"143",0.0556946068120045
"144",0.0458793418869637
"145",0.0473486580516832
"146",0.0240544811120617
"147",0.0476211894937018
"148",0.034093238156055
"149",0.0293205556036275
"150",-0.0101148538019954
"151",0.0691085414712909
"152",0.0581035370232338
"153",0.0217702908545133
"154",0.0388041878518576
"155",0.0309740816576056
"156",0.0682556214358437
"157",0.0543372376055464
"158",0.0732233138030965
"159",0.0297215076305118
"160",0.0489819835882477
"161",0.0731616561689673
"162",0.000848815593162119
"163",0.0681856789660742
"164",0.0355786163035103
"165",0.0560567879987781
"166",0.0241569685743033
"167",0.0613009477644926
"168",0.0405622714302618
"169",0.0541886306612207
"170",0.06301546158923
"171",0.0414320424409791
"172",0.0457886302304112
"173",0.0322500492923214
"174",0.0283267180666355
"175",0.0330193362359504
"176",0.0354814828384397
"177",0.0576065622841636
"178",0.0484618847747907
"179",0.035492627972803
"180",0.0681948793107801
"181",0.0610815889738768
"182",0.0442267755696858
"183",0.0784574516591026
"184",0.0714369306426863
"185",0.0642049028888552
"186",0.0172731699099336
"187",0.00310455321408613
"188",0.0486077707978613
"189",0.0256924497087674
"190",0.0342391694869824
"191",0.0101497477947764
"192",0.0273311932215234
"193",0.056721701641024
"194",-0.0062575905343201
"195",0.0528506573727361
"196",0.0714540664055065
"197",0.0804069352176946
"198",0.0520206010828615
"199",0.0772349089583995
"200",0.020077150957243
"201",0.0824125549066587
"202",0.0674379526224671
"203",0.0867916387095013
"204",0.0832475311896344
"205",0.0285330690107429
"206",0.0328613316501397
"207",0.0401842434559658
"208",0.0037392063381885
"209",0.0304539309920586
"210",0.074720642793418
"211",0.0250860572465414
"212",0.0699866703941873
"213",0.00338281866853221
"214",0.0218128168657577
"215",0.0394894447098628
"216",0.0339012692169464
"217",0.0539064976199193
"218",0.0768188208276824
"219",0.0676765320765669
"220",0.0493251595897584
"221",0.0390704193338344
"222",0.0642808724363396
"223",0.0393322975193066
"224",0.0583779232281865
"225",0.0181231970313005
"226",0.0359929361223149
"227",0.0626522339498251
"228",0.0382889668433254
"229",0.0130108037563553
"230",0.0710222918571085
"231",0.0414638594242799
"232",0.0423462775954129
"233",0.0191140207095966
"234",0.0497783530028555
"235",0.0690320744689496
"236",0.0241927112584969
"237",0.0140092302297828
"238",0.00908727492200945
"239",0.0770292191876488
"240",0.0914370606359292
"241",0.00898421474389698
"242",0.0734158765386189
"243",0.015890984340901
"244",0.00416137926349945
"245",0.00479435982263671
"246",0.000646587554975014
"247",0.0218149876189696
"248",0.0397190307216852
"249",0.0181124657015642
"250",-0.00892353418885332
"251",0.0176093327909717
"252",0.0684143533054954
"253",-0.00447287840435139
"254",0.00479276139653499
"255",0.0794954552896599
"256",0.0788746101881522
"257",0.0732869470465738
"258",0.0361349305717317
"259",0.00500110460365526
"260",0.039322233802599
"261",0.0493333310450375
"262",0.0649453225264761
"263",-0.00709927641285912
"264",0.0325818554566888
"265",0.0656420547097121
"266",0.0114388777065259
"267",0.0757812495841775
"268",0.0732351659156179
"269",0.0181894231851924
"270",0.0904898717957935
"271",0.0583997038972903
"272",0.0282148362190357
"273",0.0280249438601645
"274",0.0793774892914962
"275",0.0014046051781901
"276",0.0772435547919423
"277",0.052933634518473
"278",0.0842835589873183
"279",0.0144207704037973
"280",0.0635279670516541
"281",0.0387646748421896
"282",-0.0161884524213223
"283",0.0327866311481008
"284",0.0463610255623733
"285",0.0239079738471958
"286",0.0749917575068709
"287",0.0548930454682377
"288",0.0628900974949393
"289",0.0186274124276919
"290",0.0436920201573884
"291",0.0304287908358495
"292",0.0674081699650766
"293",0.0364620506091245
"294",0.0154000100728931
"295",0.00668391443658327
"296",0.0505208865928293
"297",0.0136689587029416
"298",0.0389280656637878
"299",0.0141160027952481
"300",0.0540236890804668
"301",0.0900172009788204
"302",0.044530310718239
"303",0.0159921821785216
"304",-0.00164037665055913
"305",0.0512340629877214
"306",0.039549721360114
"307",0.0713853617573065
"308",0.0938468609786468
"309",0.0586312238629347
"310",0.0121186014520254
"311",0.0615205964730434
"312",0.0448519981349848
"313",0.0799449520968755
"314",0.0575894484138796
"315",0.0620892524612503
"316",0.046135767591868
"317",0.00052440775265182
"318",0.0286257786589138
"319",0.0414711457151729
"320",0.0745210019830791
"321",0.0363559956291707
"322",0.0771476234659042
"323",0.0780562106918239
"324",0.0473765522474028
"325",0.00025934000682204
"326",-0.00573076011452857
"327",-0.00772949045740166
"328",0.0791783009982349
"329",0.0257209281159392
"330",0.0393957798611408
"331",0.0403967939871399
"332",0.0600870305852177
"333",0.0282281836267564
"334",0.0153449390735734
"335",0.0732532137490275
"336",0.00903842480087455
"337",0.029019989363884
"338",0.0817856948616442
"339",0.0262303665358609
"340",0.0248024196749228
"341",0.0664932115727182
"342",0.0417959370334576
"343",0.0614261453139766
"344",0.0163393907560429
"345",0.0546991359925953
"346",0.00869733318893975
"347",0.048567869238545
"348",0.0138582201668207
"349",0.0162151889073505
"350",-0.0223503064841568
"351",0.0293116813045231
"352",0.0403584514474863
"353",0.0636979695309093
"354",0.0626956648913963
"355",0.0794338107222366
"356",0.0334950334950335
"357",0.0288660681731776
"358",0.0347353209289939
"359",0.0387911223430816
"360",0.0743387232995974
"361",0.00859326752054641
"362",0.0635565657334144
"363",0.0359791108092433
"364",0.0190614762937794
"365",0.035344369058509
"366",-7.94996820012717e-05
"367",0.0685356549748053
"368",0.0379039821921377
"369",0.0429150355025606
"370",0.0319212058676057
"371",0.0382339353124503
"372",0.0726776637910422
"373",0.0474954289365986
"374",0.0892468417551683
"375",0.0320864408412595
"376",0.0310150298543848
"377",0.0223647298161699
"378",0.0250751519387276
"379",0.0787049714570726
"380",0.0400356610488297
"381",0.0562500703282936
"382",0.0223162471755156
"383",0.0320600279976408
"384",0.0678708416087388
"385",0.0264080522865128
"386",0.0121106572456924
"387",0.0243783936872534
"388",0.0419279874808368
"389",0.020230376359034
"390",0.0406755243774371
"391",0.0188751850293179
"392",0.0142084011916498
"393",0.0726551142157522
"394",0.039036821954564
"395",0.0925124299439294
"396",0.0294413520909002
"397",-0.00318997826867409
"398",0.0421207328085523
"399",0.0177723983630948
"400",0.049531119105634
"401",0.0671908131175571
"402",0.0305559226145555
"403",0.00480930738215715
"404",0.0765479639301664
"405",0.0268249582893211
"406",0.018194213264502
"407",0.0162222467162413
"408",0.0331172539785572
"409",0.0326539980073091
"410",0.00873779948682389
"411",0.0565470479879452
"412",0.0397994031443904
"413",0.00892066819739776
"414",0.0360061659018335
"415",0.0186166750072735
"416",0.0880125604471695
"417",0.0563466841888852
"418",0.0323467576710501
