"","x"
"1",0.0233994484482773
"2",0.00941897001914051
"3",0.0608901456056438
"4",-0.00967948939556598
"5",0.00119870660210188
"6",0.0451260483804143
"7",0.0277459892086853
"8",0.0568081497716691
"9",0.0350939007577367
"10",0.0165687822039135
"11",0.0833531167896849
"12",0.0831227586496741
"13",0.0759954617932253
"14",0.076103234472686
"15",0.0153583385467958
"16",0.0277720171114248
"17",-0.00276210839819598
"18",0.0308085527603885
"19",0.0642355702752628
"20",0.0615328833388991
"21",0.0757391071506323
"22",0.0725265137108534
"23",0.049802684896756
"24",0.0276624120945199
"25",0.0272402603357101
"26",-0.00337706189944513
"27",0.0299787964711869
"28",0.032482970664972
"29",0.0463198888145729
"30",-0.00432391295945475
"31",0.0749862592762151
"32",0.0447026744957945
"33",0.0383550323324265
"34",0.0343289384448594
"35",0.042415296624195
"36",0.048734767749668
"37",0.073778789595652
"38",-0.00456574347318711
"39",0.0140736362509541
"40",0.0608977486612313
"41",0.00988899392296605
"42",0.0243994149045165
"43",0.0450474928203946
"44",-0.0108868459121841
"45",0.0731971866758299
"46",0.0777817134846551
"47",0.0153756939209874
"48",0.0545171196040118
"49",0.0672300744646988
"50",0.0196928398492389
"51",0.0148429443700879
"52",0.0691922072747138
"53",0.0431199132153526
"54",0.0671539370989145
"55",0.023989897535598
"56",0.0353306508252051
"57",0.0434861287791487
"58",0.0196559955494732
"59",0.0603466975678696
"60",0.0585425232229768
"61",0.0332702968777682
"62",0.0690831476962828
"63",0.0365060971935863
"64",0.0609157797065773
"65",0.0275732172461982
"66",0.00876334322223701
"67",0.0166858608850017
"68",0.0429843122231853
"69",0.0668567341388108
"70",0.0648064751944497
"71",0.036604944416162
"72",0.0194788666296364
"73",0.0612631974751322
"74",0.0173218914511568
"75",0.0147104748621215
"76",0.0320784694099021
"77",0.0239885150982416
"78",0.0619816008649601
"79",0.0190094140132854
"80",0.0650185855526509
"81",0.0153127144282952
"82",0.0842478685117712
"83",0.0874238337396817
"84",0.0659303514318691
"85",0.0148874615536773
"86",0.0332616317679169
"87",-0.0120018042376791
"88",0.0777066115266586
"89",0.0746496091880973
"90",0.100483881848289
"91",0.0166549042649001
"92",-0.0209564474747831
"93",0.0397301836069467
"94",0.0681430305122592
"95",0.0560119799820562
"96",0.0820624435445341
"97",0.000800882530941016
"98",0.0713793289689741
"99",0.0471597627944149
"100",0.044819545413712
"101",0.0550418217151529
"102",0.0188084363789746
"103",0.0482646742166898
"104",0.0478648718922969
"105",0.0404264716555179
"106",0.0259066669499447
"107",0.0427030592990005
"108",0.0190464100585423
"109",0.0240512236057649
"110",0.0645961238108244
"111",0.0515532992445566
"112",0.0702855973775733
"113",0.0606406257784023
"114",0.0324904325121107
"115",0.0851938151632874
"116",0.00720551534548129
"117",0.0360417512229066
"118",0.00122452097464994
"119",0.0341927011065558
"120",0.0659876698307226
"121",0.0612437827443032
"122",0.0839654582986777
"123",0.0383409025398077
"124",0.000131026564808109
"125",0.021477139100271
"126",0.0668168027836133
"127",0.00878873735263741
"128",0.0879268768233981
"129",0.00676878497311546
"130",0.0551706660313686
"131",0.00251457550237687
"132",0.0734190798706429
"133",0.0461632415505532
"134",0.069773964296865
"135",0.0103903561988832
"136",0.0444508489172052
"137",0.00432101100537888
"138",0.0483854794911629
"139",0.0648022978304511
"140",0.0340433813462249
"141",0.0324501914343593
"142",0.0487364320555176
"143",0.0569947236405584
"144",0.047897034265542
"145",0.0469900554865971
"146",0.0214844992313461
"147",0.0476820246110587
"148",0.0323678704995397
"149",0.0290218428959774
"150",-0.010715488266138
"151",0.0698513194656978
"152",0.0554834930349737
"153",0.0242022723693622
"154",0.0364047747919924
"155",0.0313078322248616
"156",0.0677703659896768
"157",0.0532554723487424
"158",0.0732317382927936
"159",0.0289510154705038
"160",0.048714383392743
"161",0.0735216366436193
"162",0.000430581433973218
"163",0.0640840661694337
"164",0.0345761850311893
"165",0.0569014540477776
"166",0.0247912055044319
"167",0.0629454989104004
"168",0.0407191451264947
"169",0.0535100355864903
"170",0.0623408827300767
"171",0.0418420069087166
"172",0.0443803978676708
"173",0.0309410891521671
"174",0.0287729332189728
"175",0.031067111861794
"176",0.0297996426385747
"177",0.0583551521594722
"178",0.0501862404964751
"179",0.0346530202918432
"180",0.0700198306415691
"181",0.0625233977297081
"182",0.0428714406715316
"183",0.0779200970162273
"184",0.0718768508544195
"185",0.0639936334851287
"186",0.0174434998032484
"187",0.0032212586377077
"188",0.0494255138618588
"189",0.0237528297701515
"190",0.0348825370113457
"191",0.00931125796737615
"192",0.0251228855600336
"193",0.0571684615043298
"194",-0.00756938655402765
"195",0.0518552698868474
"196",0.0716087209650306
"197",0.0794375235992696
"198",0.0500190168903799
"199",0.0786117297936147
"200",0.0178115708468245
"201",0.0815937354219133
"202",0.0689585025917636
"203",0.0870782646060188
"204",0.0810738352023475
"205",0.0220279353687037
"206",0.0336576398719087
"207",0.0394819446596168
"208",0.000635009681304227
"209",0.0292718153092612
"210",0.0741807928755045
"211",0.023933680107584
"212",0.0703194926945779
"213",0.00457875201210556
"214",0.0152315864900404
"215",0.0393955164428672
"216",0.0288647476902994
"217",0.0568121114893336
"218",0.0773505294210373
"219",0.0684227760961502
"220",0.047578493540032
"221",0.0373527471698787
"222",0.0656981756764874
"223",0.0370354323884541
"224",0.0588000269624718
"225",0.0167439664203845
"226",0.0362070549787053
"227",0.0622079903480973
"228",0.0385477775562764
"229",0.0139297986257252
"230",0.0710252377095144
"231",0.0401229531959146
"232",0.0421942942452655
"233",0.0190477456934174
