"","x"
"1",0.0130070626787926
"2",0.0496658275488452
"3",0.0278689612533005
"4",0.0909603905828398
"5",0.0589965418101222
"6",0.01930590392004
"7",0.0544697955274993
"8",0.0543345526868536
"9",0.0179249727875005
"10",0.0815575601430303
"11",0.0360126038009319
"12",0.0298210540279978
"13",0.0784903508667442
"14",0.0153160663988467
"15",0.0533590149511324
"16",0.0260952716873904
"17",0.0569296679266456
"18",0.0565998582103219
"19",0.0198167331815398
"20",0.054128961118659
"21",0.0691251374829918
"22",0.053414077562924
"23",0.0331143125900406
"24",0.0515081398271004
"25",0.0497685984603828
"26",0.0146946642176776
"27",0.08101869752417
"28",0.0472360530655139
"29",0.0756154561267234
"30",0.0501762094431637
"31",0.0526558663962623
"32",0.0706735039849391
"33",0.0583974333170963
"34",0.0208904757500018
"35",0.0562349883227657
"36",0.0706227268153581
"37",0.0669402181560704
"38",0.0539685813743305
"39",0.0639054472473417
"40",0.0356681438384578
"41",0.0608672803372145
"42",0.0169269593669656
"43",0.0160228152796701
"44",0.0515836305712287
"45",0.0329257973807121
"46",0.0306595682733696
"47",0.0184079073029575
"48",0.0283850256531565
"49",0.0237256515098939
"50",0.0277650670114171
"51",0.0492339575286562
"52",0.0674219824740937
"53",0.0874275900711876
"54",0.00696646885383802
"55",0.0407878769764625
"56",0.0356985066035727
"57",0.0318764889565372
"58",0.0696712477764541
"59",0.0816819305038253
"60",0.0712900781361271
"61",0.0879400562933423
"62",0.0727584805058062
"63",0.0612567864499541
"64",0.0108322131676505
"65",0.0638193036577128
"66",0.067004687985712
"67",0.0635978016147837
"68",0.0624605077274963
"69",0.014940762513361
"70",0.0787945944964654
"71",0.0297918789707934
"72",0.0547415565469395
"73",0.0397570754163694
"74",0.0263609922417485
"75",0.0307033853164957
"76",0.0763494838598853
"77",0.0554257852339381
"78",0.0336665264084511
"79",0.0326856117555876
"80",0.0130614019175133
"81",0.0690613684387231
"82",0.0765990640601082
"83",0.0711399843623235
"84",0.0368357361486923
"85",0.0671625705389478
"86",0.0437351342373217
"87",0.0307391571363148
"88",0.0686788937534522
"89",0.0375911596746761
"90",0.0635167263524811
"91",0.0129458845606097
"92",0.0843050208341443
"93",0.0188422566413495
"94",0.0630884920806859
"95",0.074387105705851
"96",0.0682409496133027
"97",0.0432898196137945
"98",0.0653559601460027
"99",0.0624745429378638
"100",0.0618639480413742
"101",0.0705998311556213
