"","x"
"1",0.0176820375729218
"2",0.0488460700635046
"3",0.0341036363233921
"4",0.0935279803430441
"5",0.0586000089552033
"6",0.0200264226815934
"7",0.0515750232607371
"8",0.0538859606591575
"9",0.0216013006340826
"10",0.0883579881400523
"11",0.0339318337830548
"12",0.0335844366860814
"13",0.0775695750214326
"14",0.018200236124012
"15",0.0525559879033655
"16",0.0257826567165158
"17",0.0565233869292162
"18",0.0521319697317942
"19",0.0218080885761661
"20",0.056794346874124
"21",0.065982307907156
"22",0.0600519570555406
"23",0.0365628241130812
"24",0.0503980682232916
"25",0.0476264038382881
"26",0.0196135357770578
"27",0.0745987449042256
"28",0.0471537295151738
"29",0.0722353191562619
"30",0.0518769989630365
"31",0.0528888970436227
"32",0.0686694469028194
"33",0.0632936633984852
"34",0.0215424551956065
"35",0.0545850218214662
"36",0.0697445778743301
"37",0.0656617982740166
"38",0.055785753644984
"39",0.0658480806220215
"40",0.0377051026069637
"41",0.0601588447896368
"42",0.0155213016484693
"43",0.0216069673425096
"44",0.0557133325338752
"45",0.0355095016594377
"46",0.0335346633461636
"47",0.0208210234876107
"48",0.031077650913084
"49",0.0252755297857289
"50",0.0322301446676112
"51",0.0473124613776415
"52",0.0630453251645169
"53",0.0875289945828646
"54",0.013147320401712
"55",0.0460490396879542
"56",0.0406572339979665
"57",0.0323318809778476
"58",0.072706994514554
"59",0.0854610903375187
"60",0.0722188475361532
"61",0.0942852720708572
"62",0.073602296484727
"63",0.062755892112163
"64",0.015141187192325
"65",0.0628129981280491
"66",0.0649630565089708
"67",0.0568227130618368
"68",0.0686066229576382
"69",0.0155193339155603
"70",0.0852631407166869
"71",0.0304410710605543
"72",0.0598799113268614
"73",0.037268872803849
"74",0.0283580465755718
"75",0.0318308966707674
"76",0.0768038918880829
"77",0.0547050260178412
"78",0.0318073343600535
"79",0.0310805864264984
"80",0.0131664309952059
"81",0.0725185954515284
"82",0.0727571843462444
"83",0.0706966521361129
"84",0.0347074064175705
"85",0.0686275793876363
"86",0.0479247192478406
"87",0.03340321453529
"88",0.0654099954449478
"89",0.0405540495828479
"90",0.0607597352683521
"91",0.0121978850936031
"92",0.0876168350702292
"93",0.0219607691592225
"94",0.0619496732368723
"95",0.0773714258658313
"96",0.0731427340592403
"97",0.0434523431378777
"98",0.0649776324393808
"99",0.065728556900077
"100",0.0640070239852758
"101",0.070553308002769
"102",0.058473217385654
"103",0.048960590799448
"104",0.0511058501783678
"105",0.0575070643840223
"106",0.0388555055291798
"107",0.0623308569147333
"108",0.0243659016730822
"109",0.0429543038295659
"110",0.0391720874835252
"111",0.0490349025312851
"112",0.0350683798917211
"113",0.0226756559303729
"114",0.0707743803239798
"115",0.0804420803447047
"116",0.032163041276432
"117",0.0888550125327865
"118",0.041594839763874
"119",0.0655067621130088
"120",0.0703639059821464
"121",0.0694967749329811
"122",0.0610906501612841
"123",0.032311700543858
"124",0.0544617647154982
"125",0.0377185801118279
"126",0.0321808035379043
"127",0.0536045277905609
"128",0.037467336824816
"129",0.029595007635955
"130",0.0339984534064755
"131",0.0377794164880293
"132",-0.00168062366478725
"133",0.0214659247793164
"134",0.0765473999039849
"135",0.0389312948500868
"136",0.0375468099744023
"137",0.0659676162401127
"138",0.0400223860393956
"139",0.012200896650415
"140",0.0728586354997437
"141",0.0515954831347289
"142",0.0226328771743427
"143",0.0711374513114325
"144",0.0256182083986041
"145",0.0695927200747489
"146",0.0248239154598344
"147",0.0309632939880125
"148",0.0558741612459104
"149",0.0527408895556654
"150",0.0652961509292209
